Modèle,Exactitude,Précision,Rappel,Score-F1,ROC-AUC
Régression Logistique,0.8771995507300636,0.9846390168970814,0.8658262044124269,0.9214183037853378,0.958551203161739
Forêt Aléatoire,0.943092474728566,0.9909824394874229,0.940117064385412,0.9648798521256932,0.983413877632698
Gradient Boosting,0.9839011606140022,0.9959016393442623,0.984691580369203,0.9902648856690062,0.9969833408374608
