Metric,Value
Accuracy,0.9940097341819544
Balanced Accuracy,0.9928540697383561
Precision,0.9981924988703118
Recall (Sensitivity),0.994597028365601
Specificity,0.9911111111111112
F1-Score,0.9963915200721696
ROC-AUC,0.9993171244184301
Average Precision,0.9998619548588513
Matthews Corr Coef,0.9788258562003275
Cohen Kappa,0.9787707121667027
Log Loss,0.02712278268895299
Brier Score,0.0066553350804941964
